inst,strategy,entry_ts,side,strike,entry,score,direction,exit_ts,exit,exit_reason,pnl_pts,win,days_held,pnl_rs,fp_lookback_min,fp_cell_size,fp_data_available,fp_cvd_qty,fp_cvd_ticks,fp_cvd_direction,fp_n_buy_imbalances,fp_n_sell_imbalances,fp_imb_ratio,fp_n_stacked_imbalances,fp_stacked_dir,fp_poc,fp_poc_dist_pts,fp_last_bar_delta,fp_last_bar_body_pts,fp_last_bar_abs_ratio,fp_spread_at_ts,fp_spread_pct,fp_ltp_at_ts,fp_n_ticks_in_window,dom_data_available,dom_bid_qty_top5,dom_ask_qty_top5,dom_imbalance,dom_spread_pts,dom_best_bid_price,dom_best_ask_price,dom_best_bid_qty,dom_best_ask_qty,dom_n_snapshots,dom_mean_bid_qty,dom_mean_ask_qty,dom_mean_imbalance,dom_imbalance_trend,dom_spread_volatility,dom_persistent_bid_price,dom_persistent_bid_qty,dom_persistent_ask_price,dom_persistent_ask_qty,dom_largest_bid_wall,dom_largest_ask_wall,dom_largest_wall_dist,dom_max_refresh_count
NIFTY,v3-options,2026-05-06 11:38:45,PE,24050,333.0,-0.466,-1,2026-05-06 15:20:51,203.3,EOD,-131.6,0,0,-8554.0,15,5.0,False,0.0,0,0,0,0,0.0,0,0,,,0.0,0.0,0.0,,,,0,False,0.0,0.0,0.0,,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0
NIFTY,v3-options,2026-05-07 11:09:47,PE,24300,319.55,-0.464,-1,2026-05-07 15:20:56,289.0,EOD,-30.55,0,0,-1985.75,15,5.0,False,0.0,0,0,0,0,0.0,0,0,,,0.0,0.0,0.0,,,,0,False,0.0,0.0,0.0,,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0
NIFTY,v3-options,2026-05-08 12:19:08,PE,24200,336.35,-0.379,-1,2026-05-08 15:29:18,315.05,EOD,-21.3,0,0,-1384.5,15,5.0,False,0.0,0,0,0,0,0.0,0,0,,,0.0,0.0,0.0,,,,0,False,0.0,0.0,0.0,,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0
NIFTY,v3-options,2026-05-11 11:42:43,CE,23950,371.75,0.615,1,2026-05-11 15:20:37,310.35,EOD,-61.4,0,0,-3991.0,15,5.0,False,0.0,0,0,0,0,0.0,0,0,,,0.0,0.0,0.0,,,,0,False,0.0,0.0,0.0,,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0
NIFTY,v3-options,2026-05-12 11:47:59,PE,23600,320.1,-0.536,-1,2026-05-12 15:20:42,423.0,EOD,102.9,1,0,6688.5,15,5.0,False,0.0,0,0,0,0,0.0,0,0,,,0.0,0.0,0.0,,,,0,False,0.0,0.0,0.0,,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0
NIFTY,v3-options,2026-05-18 12:39:41,CE,23600,278.45,0.392,1,2026-05-18 15:20:49,290.2,EOD,11.75,1,0,763.75,15,5.0,False,0.0,0,0,0,0,0.0,0,0,,,0.0,0.0,0.0,,,,0,False,0.0,0.0,0.0,,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0
NIFTY,v3-options,2026-05-19 12:53:15,PE,23700,215.95,-0.687,-1,2026-05-19 15:20:21,270.55,EOD,54.6,1,0,3549.0,15,5.0,False,0.0,0,0,0,0,0.0,0,0,,,0.0,0.0,0.0,,,,0,False,0.0,0.0,0.0,,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0
NIFTY,v3-options,2026-05-20 12:08:31,PE,23600,232.95,-0.495,-1,2026-05-20 14:09:50,183.4,FLOW_SL,-49.55,0,0,-3220.75,15,5.0,False,0.0,0,0,0,0,0.0,0,0,,,0.0,0.0,0.0,,,,0,False,0.0,0.0,0.0,,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0
BANKNIFTY,v3-options,2026-05-18 11:00:25,CE,53100,829.7,0.643,1,2026-05-18 15:20:40,1101.5,EOD,271.8,1,0,8154.0,15,10.0,False,0.0,0,0,0,0,0.0,0,0,,,0.0,0.0,0.0,,,,0,False,0.0,0.0,0.0,,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0
BANKNIFTY,v3-options,2026-05-19 11:50:11,CE,53600,736.1,0.57,1,2026-05-19 15:20:03,599.45,EOD,-136.65,0,0,-4099.5,15,10.0,False,0.0,0,0,0,0,0.0,0,0,,,0.0,0.0,0.0,,,,0,False,0.0,0.0,0.0,,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0
BANKNIFTY,v3-options,2026-05-22 11:46:53,CE,54100,438.35,0.771,1,2026-05-22 12:24:47,382.45,FLOW_SL,-55.9,0,0,-1677.0,15,10.0,True,662.0,40,1,5,2,0.42857142857142855,0,0,54200.0,-12.80000000000291,247.0,34.19999999999709,7.222222222222837,6.400000000001455,0.00011810907372961614,54187.2,204,True,570.0,150.0,0.5833333333333334,7.0,54180.4,54187.4,60.0,30.0,242,445.6611570247934,555.8677685950413,-0.07800213421897242,-0.08494901033733522,4.595527651295879,,,,,570.0,3450.0,-12.80000000000291,19
BANKNIFTY,v3-options,2026-05-22 12:50:14,CE,54100,475.15,0.756,1,2026-05-22 14:38:21,344.4,FLOW_SL,-130.75,0,0,-3922.5,15,10.0,True,-419.0,39,1,2,0,1.0,0,0,54250.0,15.599999999998545,-596.0,85.59999999999854,6.962616822430025,8.19999999999709,0.00015110862129962793,54265.6,283,True,240.0,390.0,-0.23809523809523808,8.19999999999709,54256.0,54264.2,90.0,30.0,244,688.5245901639345,502.9918032786885,0.14304494856420444,-0.03388691568197101,2.28522532154335,,,,,2280.0,450.0,21.599999999998545,25
NIFTY,vp-trail,2026-05-13 10:30:00,CE,0,23489.0,,1,2026-05-13 15:15:00,23479.5,SQUARE OFF,-29.5,0,0,-1957.5,15,5.0,False,0.0,0,0,0,0,0.0,0,0,,,0.0,0.0,0.0,,,,0,False,0.0,0.0,0.0,,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0
NIFTY,vp-trail,2026-05-14 11:30:00,CE,0,23605.0,,1,2026-05-15 11:30:00,23719.11,BREAKEVEN,94.11,1,1,6077.43,15,5.0,False,0.0,0,0,0,0,0.0,0,0,,,0.0,0.0,0.0,,,,0,False,0.0,0.0,0.0,,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0
NIFTY,vp-trail,2026-05-18 11:30:00,CE,0,23500.1,,1,2026-05-19 14:45:00,23632.79,BREAKEVEN,112.69,1,1,7284.8,15,5.0,False,0.0,0,0,0,0,0.0,0,0,,,0.0,0.0,0.0,,,,0,False,0.0,0.0,0.0,,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0
NIFTY,vp-trail,2026-05-20 11:30:00,CE,0,23601.6,,1,2026-05-21 11:00:00,23696.1,BREAKEVEN,74.5,1,1,4802.73,15,5.0,False,0.0,0,0,0,0,0.0,0,0,,,0.0,0.0,0.0,,,,0,False,0.0,0.0,0.0,,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0
BANKNIFTY,vp-trail,2026-05-14 11:15:00,CE,0,53559.0,,1,2026-05-15 09:15:00,54106.92,TRAIL STOP,487.92,1,1,14597.64,15,10.0,False,0.0,0,0,0,0,0.0,0,0,,,0.0,0.0,0.0,,,,0,False,0.0,0.0,0.0,,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0
BANKNIFTY,vp-trail,2026-05-15 12:45:00,CE,0,54260.8,,1,2026-05-15 14:30:00,54075.2,EARLY CUT,-245.6,0,0,-7408.0,15,10.0,False,0.0,0,0,0,0,0.0,0,0,,,0.0,0.0,0.0,,,,0,False,0.0,0.0,0.0,,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0
BANKNIFTY,vp-trail,2026-05-18 11:00:00,CE,0,53155.4,,1,2026-05-19 14:45:00,53504.46,TRAIL STOP,289.06,1,1,8631.93,15,10.0,False,0.0,0,0,0,0,0.0,0,0,,,0.0,0.0,0.0,,,,0,False,0.0,0.0,0.0,,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0
BANKNIFTY,vp-trail,2026-05-20 11:15:00,CE,0,53330.0,,1,2026-05-21 11:15:00,53747.24,TRAIL STOP,357.24,1,1,10677.29,15,10.0,False,0.0,0,0,0,0,0.0,0,0,,,0.0,0.0,0.0,,,,0,False,0.0,0.0,0.0,,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0
SENSEX,vp-trail,2026-05-13 11:45:00,CE,0,75200.0,,1,2026-05-13 15:15:00,74925.0,SQUARE OFF,-315.0,0,0,-3190.0,15,10.0,False,0.0,0,0,0,0,0.0,0,0,,,0.0,0.0,0.0,,,,0,False,0.0,0.0,0.0,,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0
SENSEX,vp-trail,2026-05-14 11:30:00,CE,0,75230.0,,1,2026-05-15 09:30:00,75424.1,TRAIL STOP,154.1,1,1,1501.0,15,10.0,False,0.0,0,0,0,0,0.0,0,0,,,0.0,0.0,0.0,,,,0,False,0.0,0.0,0.0,,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0
SENSEX,vp-trail,2026-05-15 12:45:00,CE,0,75750.0,,1,2026-05-15 15:00:00,75257.87,TRAIL STOP,-532.13,0,0,-5361.3,15,10.0,False,0.0,0,0,0,0,0.0,0,0,,,0.0,0.0,0.0,,,,0,False,0.0,0.0,0.0,,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0
SENSEX,vp-trail,2026-05-18 11:00:00,CE,0,74727.0,,1,2026-05-19 14:45:00,75377.9,TRAIL STOP,610.9,1,1,6069.0,15,10.0,False,0.0,0,0,0,0,0.0,0,0,,,0.0,0.0,0.0,,,,0,False,0.0,0.0,0.0,,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0
SENSEX,vp-trail,2026-05-20 11:30:00,CE,0,75138.0,,1,2026-05-21 11:00:00,75483.1,TRAIL STOP,305.1,1,1,3011.0,15,10.0,False,0.0,0,0,0,0,0.0,0,0,,,0.0,0.0,0.0,,,,0,False,0.0,0.0,0.0,,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0
SENSEX,vp-trail,2026-05-21 11:45:00,CE,0,75493.1,,1,2026-05-21 13:15:00,74969.77,TRAIL STOP,-563.33,0,0,-5673.3,15,10.0,False,0.0,0,0,0,0,0.0,0,0,,,0.0,0.0,0.0,,,,0,False,0.0,0.0,0.0,,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0
